Lethal Weapon  Paul Verhoeven  7.6
RoboCop  George P. Cosmatos  7.5
Lethal Weapon 3  Ted Kotcheff  6.6
Rambo III  John McTiernan  5.4
The Terminator  Peter MacDonald  8.1
First Blood  James Cameron  7.6
The Terminator  Stephen Hopkins  8.1
Predator  James Cameron  7.8
Die Hard  Ridley Scott  8.3
Die Hard  Mark L. Lester  8.3
Lethal Weapon 2  George Ogilvie  7.1
Predator  George Miller  7.8
Terminator 3: Rise of the Machines  Mel Gibson  6.4
Rambo: First Blood Part II  Peter MacDonald  6.2
Rambo: First Blood Part II  Jonathan Mostow  6.2
Braveheart  James Cameron  8.4
Lethal Weapon 3  James Cameron  6.6
Mad Max Beyond Thunderdome  Mel Gibson  6.1
Commando  George Miller  6.5
Rambo: First Blood Part II  Stephen Hopkins  6.2
Terminator 2: Judgment Day  John McTiernan  8.6
Aliens  George P. Cosmatos  8.5
Alien  Stephen Hopkins  8.5
Commando  George Ogilvie  6.5
First Blood  Jonathan Mostow  7.6
Alien  Peter MacDonald  8.5
Mad Max  John McTiernan  7
Predator  Paul Verhoeven  7.8
Mad Max 2  Jonathan Mostow  7.6
Lethal Weapon  George Miller  7.6
Predator  Richard Donner  7.8
First Blood  Ted Kotcheff  7.6
Die Hard  George P. Cosmatos  8.3
Lethal Weapon  George Ogilvie  7.6
First Blood  Peter MacDonald  7.6
First Blood  Stephen Hopkins  7.6
Braveheart  Richard Donner  8.4
The Terminator  Ted Kotcheff  8.1
Commando  Paul Verhoeven  6.5
Mad Max 2  George P. Cosmatos  7.6
Lethal Weapon 3  Richard Donner  6.6
Mad Max 2  Stephen Hopkins  7.6
Alien  James Cameron  8.5
Braveheart  John McTiernan  8.4
The Terminator  Richard Donner  8.1
Mad Max 2  Peter MacDonald  7.6
Rambo III  Mel Gibson  5.4
Lethal Weapon 3  John McTiernan  6.6
Rambo: First Blood Part II  Richard Donner  6.2
Terminator 2: Judgment Day  Mel Gibson  8.6
Mad Max Beyond Thunderdome  Richard Donner  6.1
Lethal Weapon 2  Mark L. Lester  7.1
Predator  John McTiernan  7.8
Lethal Weapon 2  Ridley Scott  7.1
Aliens  Ridley Scott  8.5
Aliens  Mark L. Lester  8.5
Mad Max  Paul Verhoeven  7
Lethal Weapon  Ted Kotcheff  7.6
Rambo III  George Miller  5.4
Predator 2  Ridley Scott  6.1
Predator 2  Mark L. Lester  6.1
Alien  Richard Donner  8.5
Commando  Ted Kotcheff  6.5
Mad Max Beyond Thunderdome  George Miller  6.1
Alien  Jonathan Mostow  8.5
The Terminator  James Cameron  8.1
Mad Max  Mel Gibson  7
Predator  Jonathan Mostow  7.8
Predator  Ted Kotcheff  7.8
Mad Max Beyond Thunderdome  James Cameron  6.1
Rambo: First Blood Part II  James Cameron  6.2
Predator 2  George Ogilvie  6.1
First Blood  Richard Donner  7.6
Rambo III  Paul Verhoeven  5.4
Mad Max  George Miller  7
Braveheart  Mel Gibson  8.4
Aliens  George Ogilvie  8.5
Terminator 3: Rise of the Machines  James Cameron  6.4
Mad Max 2  Richard Donner  7.6
Lethal Weapon 3  Mel Gibson  6.6
Mad Max Beyond Thunderdome  Ted Kotcheff  6.1
Mad Max  Jonathan Mostow  7
Predator  Mel Gibson  7.8
First Blood  George Ogilvie  7.6
Alien  John McTiernan  8.5
Rambo: First Blood Part II  John McTiernan  6.2
Terminator 3: Rise of the Machines  Ted Kotcheff  6.4
First Blood  Ridley Scott  7.6
Mad Max 2  James Cameron  7.6
First Blood  Mark L. Lester  7.6
The Terminator  Jonathan Mostow  8.1
RoboCop  Ridley Scott  7.5
Commando  Ridley Scott  6.5
Commando  Mark L. Lester  6.5
First Blood  George P. Cosmatos  7.6
Aliens  George Miller  8.5
Predator  George Ogilvie  7.8
The Terminator  John McTiernan  8.1
RoboCop  Mark L. Lester  7.5
Commando  George P. Cosmatos  6.5
Lethal Weapon  Ridley Scott  7.6
Aliens  Paul Verhoeven  8.5
Lethal Weapon  Mark L. Lester  7.6
Mad Max 2  George Miller  7.6
The Terminator  George Miller  8.1
Terminator 3: Rise of the Machines  John McTiernan  6.4
Lethal Weapon  George P. Cosmatos  7.6
Terminator 3: Rise of the Machines  Richard Donner  6.4
